,C_GENDER,C_AGE,C_FIRST_WORK_DATE,CUST_CODE
442,1,37,01-JUL-02,88150243
443,1,28,27-JUL-12,55379678
444,2,28,01-APR-10,53864358
445,2,30,01-JAN-10,33442070
446,1,30,01-APR-11,61549659
447,1,48,01-DEC-87,58045289
448,1,44,01-JAN-96,54018510
449,2,41,01-DEC-99,62355868
450,2,33,01-JUL-09,17244309
451,1,31,01-APR-07,37053846
452,1,29,08-DEC-14,57865077
453,1,51,01-AUG-88,32487820
454,2,27,08-OCT-14,40095997
455,1,25,08-DEC-14,24141055
456,2,27,08-DEC-14,16708193
457,2,32,01-NOV-11,96227316
458,2,28,25-NOV-13,78517270
459,2,27,08-DEC-14,63536274
460,1,31,19-NOV-12,87282414
461,1,27,24-JUN-15,84354692
462,2,29,08-DEC-14,23255983
463,1,56,01-MAY-82,10637783
464,1,30,18-JUL-10,29917290
465,1,24,10-OCT-14,39372480
466,1,26,10-OCT-14,59039730
467,2,25,01-JUL-15,97970972
468,1,34,01-SEP-06,93753492
469,1,33,01-JUL-09,43108422
470,2,26,22-JAN-16,68918121
471,1,37,01-SEP-04,80937043
472,1,30,01-APR-11,75247355
473,1,37,01-OCT-08,95398685
474,1,28,09-MAY-10,58516399
475,2,32,21-JAN-10,58590910
476,2,32,01-OCT-10,50703856
477,2,36,01-JUL-04,93151901
478,2,33,11-SEP-07,37626725
479,2,46,08-AUG-88,86705500
480,1,43,01-SEP-94,23042142
481,1,29,26-MAY-15,39499351
482,2,46,01-SEP-86,77037750
483,2,26,08-JUL-15,86047664
484,1,52,01-JUL-86,55213937
485,2,36,01-JUN-08,40224362
486,1,40,01-SEP-99,70651031
487,1,33,08-JUL-10,96790433
488,1,46,01-SEP-94,28354915
489,2,42,01-SEP-93,97915238
490,2,28,01-JAN-14,59990379
491,2,48,02-JUL-88,15997662
492,2,39,01-APR-96,74427207
493,1,35,01-JUL-05,61584526
494,2,66,01-JUL-71,20949764
495,2,59,01-AUG-77,42214721
496,2,64,01-JAN-72,31387647
497,2,67,01-AUG-69,28854015
498,2,72,01-AUG-77,15796838
499,1,65,01-OCT-70,83063218
500,2,55,01-APR-95,59530759
501,1,48,01-AUG-88,31213321
502,2,52,01-JAN-96,99500842
503,1,54,01-AUG-84,69502713
504,2,33,01-NOV-06,76989700
505,2,36,01-SEP-12,76449610
506,2,35,01-JAN-09,55295976
507,1,28,18-FEB-14,66178954
508,2,37,20-AUG-97,25703483
509,2,28,01-NOV-11,33607327
510,1,38,16-JUL-03,96937834
511,2,31,29-JUN-15,65785619
512,2,62,01-JAN-92,36783364
513,2,55,01-DEC-79,83342564
514,2,58,01-MAR-91,84178691
515,2,64,01-DEC-70,82414547
516,2,58,01-JAN-93,38220019
517,2,54,01-NOV-80,13572547
518,2,61,01-NOV-87,76731372
519,1,43,01-NOV-94,10836042
520,1,50,01-JUL-87,96448657
521,2,53,01-DEC-81,50370906
522,1,56,01-DEC-80,47284828
523,1,31,01-OCT-11,93401663
524,1,54,31-OCT-81,12190575
525,1,40,10-SEP-00,34181143
526,1,29,06-JAN-14,84207390
527,2,35,01-JUL-07,99351760
528,1,29,01-OCT-13,66426495
529,2,33,04-NOV-13,84825688
530,1,30,27-JUL-12,48255359
531,1,27,06-APR-15,62133650
532,1,25,25-JUL-14,81209130
533,2,27,24-SEP-15,15999798
534,1,45,01-AUG-92,31486322
535,1,25,01-JUN-15,28412674
536,2,33,15-AUG-08,48004858
537,2,30,01-APR-11,31976802
538,2,27,07-APR-15,59182574
539,2,31,01-FEB-10,62353198
540,2,28,15-JAN-14,69168896
541,1,33,01-APR-08,12479651
542,1,27,26-MAR-14,10941544
543,1,36,01-JUL-04,80226534
544,2,34,01-FEB-11,20719921
545,2,31,01-SEP-14,35954361
546,2,27,16-JUL-12,23114588
547,2,38,01-FEB-11,88965690
548,1,36,01-MAY-10,66679781
549,2,44,01-NOV-94,73831759
550,1,28,10-OCT-14,34081042
551,1,31,12-NOV-12,44508952
552,2,30,12-NOV-12,20337142
553,2,43,01-AUG-92,51198390
554,2,35,10-SEP-07,64949316
555,1,49,01-JUL-91,61502274
556,2,38,01-DEC-95,59778031
557,2,42,01-MAY-95,31467618
558,1,45,01-OCT-89,11312891
559,2,33,01-OCT-07,95370669
560,2,25,01-JUL-16,10778885
561,2,42,01-AUG-94,89613400
562,2,45,01-SEP-90,63626688
563,1,35,01-JUL-04,16618164
564,2,28,17-NOV-14,13681546
565,1,40,01-SEP-99,62759981
566,1,35,01-JUL-03,59746200
567,1,38,01-JUL-03,96635039
568,2,25,01-MAY-11,85277419
569,1,29,28-JUL-12,44658207
570,1,37,01-AUG-99,99597053
571,1,55,01-FEB-83,59915197
572,2,24,01-JUL-16,47849450
573,2,28,01-MAR-13,24155027
574,2,29,08-DEC-14,59659594
575,2,25,01-JUL-16,14775966
576,2,45,01-SEP-93,56626543
577,1,32,01-JUN-08,61106963
578,2,33,01-FEB-08,25694235
579,2,29,01-MAR-16,55095905
580,1,32,10-MAY-10,73800868
581,1,34,01-AUG-08,77543043
582,1,27,30-MAR-12,21978701
583,1,33,16-OCT-13,30133281
584,2,28,01-AUG-15,32580874
585,1,27,01-JUL-12,98514486
586,1,44,01-JUL-96,31587756
587,2,28,10-OCT-11,40380283
588,1,42,08-OCT-95,96781331
589,1,32,01-DEC-03,24827236
590,1,30,04-JAN-15,26281218
591,2,29,07-MAR-13,30430600
592,1,32,01-JUN-10,74730769
593,2,32,01-JUN-10,67122904
594,2,31,01-AUG-11,52851650
595,1,32,01-JUL-12,74523791
596,2,35,01-SEP-05,35604919
597,1,29,27-JUL-12,39727799
598,1,42,01-AUG-94,65880227
599,2,36,01-DEC-00,94836528
600,1,35,01-JUL-07,19062866
601,1,32,08-JUL-10,41995770
602,1,40,01-JUL-02,21263788
603,2,41,01-JUL-02,14511550
604,2,35,01-APR-09,79927860
605,2,34,01-AUG-03,13297769
606,2,31,01-JUL-09,93134856
607,1,32,01-JUL-07,79525237
608,1,25,19-MAY-15,12092854
609,2,33,02-JUL-08,59565761
610,2,25,01-JUL-14,77402195
611,2,37,01-SEP-01,61687613
612,2,29,19-JUN-15,87327547
613,2,29,30-MAR-15,41698373
614,1,32,04-DEC-07,49083492
615,1,29,24-FEB-09,28060160
616,1,35,26-JUN-07,82058785
617,1,41,01-JAN-98,72999860
618,2,29,27-OCT-15,88814333
619,2,27,01-AUG-15,95651722
620,1,30,01-NOV-10,61840166
621,1,30,01-JUL-12,15221950
622,2,22,01-JUL-16,25007402
623,1,29,31-DEC-12,57982073
624,2,26,01-FEB-14,26498773
625,2,26,01-JUL-16,54442751
626,2,38,14-FEB-08,23803508
627,2,30,15-JAN-14,68241313
628,1,35,01-JUL-05,49795895
629,2,54,01-DEC-79,86194696
630,2,37,01-JUL-03,70729994
631,1,29,01-FEB-12,31814078
632,1,29,01-JUL-11,72560514
633,2,27,01-JUL-16,22288649
634,1,36,17-JUL-04,96964259
635,1,43,01-JAN-94,36056913
636,1,29,22-JUL-13,50038481
637,2,37,01-JAN-04,48935746
638,1,40,04-OCT-98,40651258
639,2,32,01-JUL-07,45683946
640,2,43,01-NOV-96,47845689
641,2,27,01-MAR-16,65122413
642,2,36,01-JAN-06,29047623
643,1,41,16-NOV-98,98725084
644,1,33,01-JUL-07,65366538
645,1,27,08-DEC-14,65578431
646,2,37,01-JUN-03,36306651
647,2,26,25-MAR-16,86773907
648,1,55,01-DEC-79,72333577
649,1,33,25-APR-09,22792794
650,2,37,14-JAN-11,20684766
651,2,33,14-OCT-09,34588594
652,2,27,01-JUL-13,15968408
653,2,27,01-MAR-13,79681405
654,1,30,31-MAR-14,68172510
655,2,32,01-JUL-14,34022503
656,2,34,01-OCT-07,28755010
657,2,27,01-APR-12,72376548
658,2,33,01-DEC-05,13441042
659,2,26,07-APR-15,17357551
660,2,25,18-JUL-16,24492086
661,2,31,01-JUL-10,42451127
662,1,30,01-NOV-12,95145716
663,2,45,01-SEP-92,21160107
664,2,26,04-MAR-15,29022213
665,1,44,01-NOV-94,51470186
666,1,29,01-FEB-12,32224980
667,2,49,01-DEC-85,54812739
668,1,46,01-MAR-90,93835318
669,1,26,24-JUN-15,81558062
670,2,32,01-FEB-12,27404622
671,1,45,01-DEC-90,44276799
672,2,24,01-JUL-16,73799065
673,2,24,01-JUL-16,48622022
674,1,27,24-JUL-14,54278861
675,2,29,15-JAN-14,74053755
676,2,31,22-MAR-10,76557129
677,1,25,15-JAN-14,81925128
678,2,27,02-AUG-13,91411354
679,2,24,01-JUL-16,79778066
680,1,34,01-JUN-06,26821746
681,2,37,01-JAN-01,72078541
682,1,25,11-MAY-15,74117787
683,1,45,08-AUG-88,72968926
684,1,25,20-MAY-15,87397970
685,2,45,01-APR-93,54382680
686,1,28,01-DEC-08,64210008
687,2,33,13-SEP-07,95574010
688,1,44,01-AUG-92,47428950
689,2,32,02-NOV-09,35492175
690,1,44,01-AUG-93,69540251
691,2,40,01-MAY-96,30179631
692,2,42,01-DEC-93,75296141
693,1,32,24-JAN-10,83936089
694,1,31,01-DEC-04,74033341
695,1,36,01-JAN-05,51414806
696,1,30,24-JUN-15,65580489
697,1,30,01-AUG-11,31740620
698,2,33,11-NOV-11,17824020
699,1,36,01-JUL-06,47954598
700,2,30,01-JUL-09,76337145
701,1,42,01-MAY-98,52253029
702,1,36,01-DEC-00,34540792
703,1,24,21-JUL-15,69042970
704,2,35,01-MAY-05,82581685
705,2,40,01-JAN-97,32203777
706,1,50,25-DEC-85,74014131
707,1,25,19-MAY-15,70711673
708,2,25,01-APR-15,46073544
709,1,48,01-JUL-92,87009267
710,2,31,24-JAN-10,43601302
711,2,33,23-OCT-08,84937778
712,2,28,01-SEP-13,36416631
713,2,25,01-JUL-16,67509394
714,2,42,01-JUN-94,46837106
715,2,27,28-JUL-14,39624971
716,1,38,01-OCT-99,46532597
717,2,25,30-JUN-15,19951203
718,2,34,01-JUL-10,56603443
719,2,32,06-JAN-09,86116826
720,2,42,01-AUG-98,15494687
721,2,28,03-MAY-16,95366065
722,1,33,01-JUL-10,11361440
723,2,29,01-JUL-11,39458311
724,1,33,01-AUG-07,69053242
725,1,29,01-JUL-11,57877427
726,2,32,24-JAN-10,59353065
727,1,26,07-FEB-14,28994227
728,1,30,18-FEB-16,36902472
729,2,36,01-MAR-07,25854913
730,2,30,13-APR-11,50170893
731,1,35,29-DEC-04,83616950
732,2,32,24-JAN-10,45066983
733,2,48,01-JUL-91,44406911
734,2,26,26-MAY-15,44257505
735,2,27,01-JUN-15,63919898
736,1,26,01-OCT-14,13983472
737,2,24,01-JUL-16,62300052
738,1,34,01-NOV-03,60158676
739,1,32,01-SEP-10,90502290
740,2,32,01-JUL-07,90311532
741,2,28,01-JUN-14,46024109
742,2,25,01-JUL-16,80435353
743,1,44,01-AUG-90,29454219
744,1,46,01-MAR-93,47246588
745,1,50,01-AUG-87,40160762
746,1,42,01-JUL-99,23694094
747,2,50,01-MAR-84,41450631
748,1,38,01-JUN-03,51999365
749,2,31,01-JUL-11,82617186
750,2,30,01-JUL-09,55718421
751,1,31,01-JUN-07,42050349
752,1,58,01-DEC-78,22620774
753,2,29,19-NOV-12,96639955
754,1,25,12-OCT-13,97428064
755,2,30,19-NOV-12,79028149
756,2,29,08-DEC-14,40417175
757,1,29,12-OCT-13,80667820
758,2,26,11-DEC-14,11834620
759,1,27,12-OCT-13,88726373
760,1,30,01-SEP-12,94828923
761,2,34,07-JUL-06,45565667
762,2,33,01-AUG-07,23684834
763,2,30,01-MAR-05,97311005
764,1,35,01-JUL-05,89798609
765,1,31,01-JUL-11,81840779
766,2,38,01-JUL-03,79823853
767,1,23,01-JUL-16,83719281
768,1,30,25-SEP-11,40787563
769,2,26,01-AUG-15,63751900
770,1,48,01-NOV-87,53724448
771,1,28,09-MAR-15,68388403
772,1,45,01-NOV-93,99009252
773,2,28,01-AUG-15,50890696
774,2,40,01-JUL-97,75290658
775,2,34,06-MAR-10,88477347
776,1,27,15-DEC-15,16751475
777,2,28,14-NOV-14,11198983
778,1,35,13-JUL-06,53309348
779,2,36,01-AUG-05,76662585
780,1,36,01-JUL-03,59419405
